epoch,train_acc,train_loss,valid_acc,valid_loss
0,19.1260005670166,2.960934292297363,25.660000811767578,1.8933381889343261
1,34.26000101074219,2.4497201667785644,43.340001184082034,1.6054236227035523
2,45.03200124023437,2.082556743927002,53.57000125732422,1.3441171466827393
3,53.01000135742188,1.815177747192383,55.63000115966797,1.4360725748062133
4,57.16800134033203,1.6578293833923339,62.55000162353516,1.769828063392639
5,61.724001577148435,1.5002337326431274,66.51000205078125,1.7595319005966186
6,64.8740018774414,1.3867157202529907,68.41000216064454,1.830044383621216
7,68.06800218017578,1.275433306427002,72.55000252685547,1.0023103307724
8,69.5340024560547,1.215485572242737,66.76000216064453,1.1272784180641173
9,71.53400237792968,1.1425566124725341,75.94000278320313,0.7214076853752136
10,73.04400251953125,1.0811352187728882,77.82000270996093,0.6606448298454285
11,74.3680026171875,1.0331345860099792,78.07000256347656,0.6283994142532349
12,75.39200244873047,0.9922555939865112,73.91000233154297,0.8292338693618775
13,76.64600241699219,0.9546830738830566,79.03000256347656,0.6861092614173889
14,76.96200251464843,0.9255996890640259,78.69000256347657,0.6509901426315308
15,77.62200247070312,0.9047471292114257,74.79000241699218,0.841110998916626
16,78.08200261230469,0.8858290352630616,79.560002734375,0.6057602184295654
17,78.73200239746093,0.8600760792922973,82.9900025390625,0.5027214155435562
18,79.0120025,0.8440325434303284,78.13000258789063,0.695563896560669
19,79.5080027001953,0.830210604839325,81.61000263671875,0.5476527985572814
20,80.08400250976563,0.8148465740013122,81.16000244140625,0.5769880884170532
21,80.45000248535156,0.8017756230163574,80.24000263671876,0.6096455232620239
22,80.75800273925782,0.7876551260757446,83.7600025390625,0.4946872194290161
23,80.85600274902343,0.7777498357582092,84.24000217285156,0.4647057667732239
24,81.07400271484374,0.7726074711036682,83.87000244140626,0.49307468032836915
25,81.22400265136719,0.7623105793571472,83.73000283203125,0.4838497692108154
26,81.37000266601562,0.7558244325065613,82.81000227050781,0.5346035758972167
27,81.630002578125,0.7427366880226135,82.90000212402344,0.5111057633876801
28,81.736002578125,0.7405583212661743,83.69000261230468,0.492338970375061
29,81.87000253417969,0.7406695732498169,84.24000278320312,0.49189239745140073
30,82.34800270019531,0.7174910715484619,86.05000236816406,0.4279651268482208
31,82.45400252929687,0.7137216488265992,83.92000244140625,0.4964656644821167
32,82.71400250488281,0.7076176220703125,85.07000224609375,0.44837327384948733
33,82.67200243652344,0.7107425405311585,84.85000261230469,0.4556335725784302
34,82.72800256835937,0.7031926841926575,85.8900028076172,0.4286688560962677
35,82.9540024609375,0.6926353307723999,86.79000283203125,0.39262962274551394
36,82.87200259765625,0.6938467721557617,83.70000251464843,0.5280451405048371
37,82.90800249511719,0.6920392495155334,83.43000266113282,0.5095927478313446
38,83.04400256347657,0.6910156486701965,80.55000256347657,0.6146971548557282
39,83.18800257324219,0.6868874520874023,84.07000256347656,0.48336551189422605
40,83.27800266601562,0.6819230501556397,82.08000212402344,0.5683493877410889
41,83.30000263671874,0.6835971195220947,81.44000246582031,0.5804417257785797
42,83.62600257324219,0.672323058681488,84.06000283203124,0.4687314778327942
43,83.65200248046875,0.6714886520195007,85.30000278320313,0.45514383301734923
44,84.02400249511719,0.6574914540481568,84.56000244140625,0.47489188861846926
45,83.88400262207031,0.6598275853919983,85.980002734375,0.42310228390693666
46,84.02600262695313,0.6552236684608459,86.20000266113281,0.4136775512218475
47,83.906002578125,0.6622946905517578,85.74000244140625,0.427415389919281
48,83.91600243164062,0.6593476064872742,84.64000290527343,0.4705825267791748
49,84.00200250976563,0.6518500847434997,84.00000224609374,0.47994268283843994
50,84.16000251464844,0.6472920134162903,86.3300025390625,0.410278306388855
51,84.06000261230469,0.6481244010353089,86.26000256347656,0.411453665304184
52,84.21000259277344,0.6458322587394715,85.87000236816407,0.43228349614143374
53,84.15800269042968,0.6462793712615966,86.51000261230469,0.41069783248901365
54,84.56200263183594,0.6361093806838989,85.37000258789062,0.46374220294952395
55,84.40600240234374,0.6438513321685791,87.42000268554688,0.3700728147983551
56,84.3740026123047,0.6417817093467713,85.15000229492188,0.4392785557746887
57,84.89200255859375,0.6184446955680847,86.67000244140625,0.4189644949913025
58,84.694002578125,0.6221774254989624,84.55000251464844,0.4894910710334778
59,84.56200239257812,0.6335457158851624,86.86000251464844,0.40674388132095335
60,84.94400261230469,0.6224709473800659,87.52000222167969,0.38608034482002257
